time="2022-10-02T02:47:29+08:00" level=info msg="RESTful API listening at: 127.0.0.1:49907"
time="2022-10-02T02:49:18+08:00" level=info msg="[TCP] 127.0.0.1:61512 --> ocsp2.globalsign.com:80 match DomainSuffix(globalsign.com) using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:49:18+08:00" level=info msg="[TCP] 127.0.0.1:61506 --> b.scorecardresearch.com:443 match Match() using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:49:19+08:00" level=info msg="[TCP] 127.0.0.1:61512 --> o.ss2.us:80 match Match() using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:49:19+08:00" level=info msg="[TCP] 127.0.0.1:61512 --> ocsp.rootg2.amazontrust.com:80 match DomainKeyword(amazon) using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:49:20+08:00" level=info msg="[TCP] 127.0.0.1:61528 --> pinghot.qq.com:443 match DomainSuffix(qq.com) using DIRECT"
time="2022-10-02T02:49:32+08:00" level=info msg="[TCP] 127.0.0.1:61553 --> tpstelemetry.tencent.com:443 match DomainSuffix(tencent.com) using DIRECT"
time="2022-10-02T02:49:40+08:00" level=info msg="[TCP] 127.0.0.1:61572 --> settings-win.data.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:51:28+08:00" level=info msg="[TCP] 127.0.0.1:61698 --> update.browser.qq.com:80 match DomainSuffix(qq.com) using DIRECT"
time="2022-10-02T02:51:42+08:00" level=info msg="[TCP] 127.0.0.1:61713 --> ldc.lenovo.com.cn:443 match DomainSuffix(cn) using DIRECT"
time="2022-10-02T02:51:47+08:00" level=info msg="[TCP] 127.0.0.1:61732 --> fd.api.iris.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:51:58+08:00" level=info msg="[TCP] 127.0.0.1:61741 --> substrate.office.com:443 match DomainSuffix(office.com) using DIRECT"
time="2022-10-02T02:51:58+08:00" level=warning msg="[TCP] dial DIRECT (match DomainSuffix/qq.com) to scdown.qq.com:80 error: dial tcp4 0.0.0.1:80: connectex: A socket operation was attempted to an unreachable network."
time="2022-10-02T02:51:58+08:00" level=warning msg="[TCP] dial DIRECT (match DomainSuffix/qq.com) to scdown.qq.com:80 error: dial tcp4 0.0.0.1:80: connectex: A socket operation was attempted to an unreachable network."
time="2022-10-02T02:51:59+08:00" level=info msg="[TCP] 127.0.0.1:61748 --> config.edge.skype.com:443 match DomainSuffix(skype.com) using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:51:59+08:00" level=warning msg="[TCP] dial DIRECT (match DomainSuffix/qq.com) to scdown.qq.com:80 error: dial tcp4 0.0.0.1:80: connectex: A socket operation was attempted to an unreachable network."
time="2022-10-02T02:52:07+08:00" level=info msg="[TCP] 127.0.0.1:61759 --> account.sogou.com:443 match DomainSuffix(sogou.com) using DIRECT"
time="2022-10-02T02:52:07+08:00" level=info msg="[TCP] 127.0.0.1:61769 --> account.sogou.com:443 match DomainSuffix(sogou.com) using DIRECT"
time="2022-10-02T02:52:07+08:00" level=info msg="[TCP] 127.0.0.1:61764 --> login.live.com:443 match DomainSuffix(live.com) using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:52:07+08:00" level=info msg="[TCP] 127.0.0.1:61771 --> account.sogou.com:443 match DomainSuffix(sogou.com) using DIRECT"
time="2022-10-02T02:52:07+08:00" level=info msg="[TCP] 127.0.0.1:61773 --> account.sogou.com:443 match DomainSuffix(sogou.com) using DIRECT"
time="2022-10-02T02:52:07+08:00" level=info msg="[TCP] 127.0.0.1:61775 --> pc.profile.pinyin.sogou.com:80 match DomainSuffix(sogou.com) using DIRECT"
time="2022-10-02T02:52:08+08:00" level=info msg="[TCP] 127.0.0.1:61775 --> get.sogou.com:80 match DomainSuffix(sogou.com) using DIRECT"
time="2022-10-02T02:52:08+08:00" level=info msg="[TCP] 127.0.0.1:61784 --> profile.pinyin.sogou.com:80 match DomainSuffix(sogou.com) using DIRECT"
time="2022-10-02T02:52:08+08:00" level=info msg="[TCP] 127.0.0.1:61789 --> profile.pinyin.sogou.com:80 match DomainSuffix(sogou.com) using DIRECT"
time="2022-10-02T02:52:08+08:00" level=info msg="[TCP] 127.0.0.1:61791 --> pc.profile.pinyin.sogou.com:80 match DomainSuffix(sogou.com) using DIRECT"
time="2022-10-02T02:52:08+08:00" level=info msg="[TCP] 127.0.0.1:61796 --> get.sogou.com:80 match DomainSuffix(sogou.com) using DIRECT"
time="2022-10-02T02:52:09+08:00" level=info msg="[TCP] 127.0.0.1:61798 --> edge.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:52:09+08:00" level=info msg="[TCP] 127.0.0.1:61804 --> edge.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:52:09+08:00" level=info msg="[TCP] 127.0.0.1:61806 --> edge.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:52:09+08:00" level=info msg="[TCP] 127.0.0.1:61803 --> edge.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:52:09+08:00" level=info msg="[TCP] 127.0.0.1:61807 --> edge.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:52:09+08:00" level=info msg="[TCP] 127.0.0.1:61805 --> edge.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:53:52+08:00" level=info msg="[TCP] 127.0.0.1:61876 --> c.gj.qq.com:80 match DomainSuffix(qq.com) using DIRECT"
time="2022-10-02T02:53:52+08:00" level=info msg="[TCP] 127.0.0.1:61882 --> c.gj.qq.com:443 match DomainSuffix(qq.com) using DIRECT"
time="2022-10-02T02:56:28+08:00" level=info msg="[TCP] 127.0.0.1:61937 --> wup.browser.qq.com:443 match DomainSuffix(qq.com) using DIRECT"
time="2022-10-02T02:56:34+08:00" level=info msg="[TCP] 127.0.0.1:61949 --> download.windowsupdate.com:80 match GeoIP(CN) using DIRECT"
time="2022-10-02T02:56:37+08:00" level=info msg="[TCP] 127.0.0.1:61957 --> v10.events.data.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:56:39+08:00" level=info msg="[TCP] 127.0.0.1:61963 --> geover.prod.do.dsp.mp.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:56:39+08:00" level=info msg="[TCP] 127.0.0.1:61967 --> cp601.prod.do.dsp.mp.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:56:40+08:00" level=info msg="[TCP] 127.0.0.1:61974 --> au.download.windowsupdate.com:80 match GeoIP(CN) using DIRECT"
time="2022-10-02T02:56:40+08:00" level=info msg="[TCP] 127.0.0.1:61979 --> kv601.prod.do.dsp.mp.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:56:41+08:00" level=info msg="[TCP] 127.0.0.1:61984 --> v10.events.data.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:56:42+08:00" level=info msg="[TCP] 127.0.0.1:61989 --> v10.events.data.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
